0:0:0.60,752.441,-616.0,-1007.0,-546.88,2720.31,5728.12
0:0:0.87,461.67,15.0,-463.0,279.69,2918.75,-2989.06
0:0:1.52,1196.533,296.0,47.0,-910.94,-2614.06,6290.62
0:0:2.65,1483.398,206.0,141.0,-3657.81,-520.31,6907.81
0:0:3.66,1643.31,189.0,240.0,-1173.44,118.75,8695.31
0:0:4.18,561.279,1013.0,174.0,2540.62,1551.56,-6885.94
0:0:4.71,1443.604,260.0,288.0,-3140.62,-787.5,5920.31
0:0:5.18,510.01,1092.0,199.0,4217.19,3082.81,-15993.75
0:0:5.74,1459.961,322.0,332.0,-3265.62,-114.06,5732.81
0:0:6.26,567.139,1147.0,187.0,2723.44,2125.0,-7246.88
0:0:6.77,1429.443,237.0,267.0,-2142.19,317.19,10442.19
0:0:7.33,492.92,1076.0,150.0,2939.06,2162.5,-7423.44
0:0:7.84,1450.928,307.0,245.0,-229.69,250.0,7865.62
0:0:8.35,342.529,966.0,115.0,5259.38,3076.56,-6267.19
0:0:8.92,1355.225,577.0,233.0,-3829.69,-1985.94,5687.5
0:0:9.44,339.355,1202.0,169.0,467.19,4260.94,-6340.62
0:0:9.95,1284.424,688.0,70.0,-2137.5,-1950.0,7128.12
0:0:10.54,388.428,1124.0,236.0,-243.75,1457.81,-7873.44
0:0:10.98,1068.848,907.0,176.0,-2656.25,-2845.31,12290.62
0:0:11.60,245.605,1155.0,143.0,-475.0,187.5,-5468.75
0:0:12.16,1105.225,768.0,120.0,-2603.12,-2996.88,5353.12
0:0:12.65,93.994,1084.0,106.0,207.81,373.44,-7703.12
0:0:14.29,1263.184,807.0,270.0,-3879.69,-2820.31,6189.06
0:0:14.77,82.031,1113.0,152.0,1346.88,1998.44,-7657.81
0:0:15.32,1179.199,772.0,314.0,-4587.5,-4170.31,4843.75
0:0:15.83,178.711,1095.0,254.0,1779.69,3017.19,-6653.12
0:0:16.37,1205.81,811.0,352.0,-1875.0,-1551.56,6493.75
0:0:16.92,369.385,1174.0,246.0,3443.75,2096.88,-5976.56
0:0:17.46,1077.148,533.0,225.0,-6198.44,-5198.44,8298.44
0:0:17.97,299.072,1065.0,212.0,1351.56,682.81,-6145.31
0:0:18.99,222.412,1042.0,164.0,5353.12,5226.56,-8175.0
0:0:19.53,1257.812,749.0,340.0,806.25,1325.0,6931.25
0:0:20.10,362.549,1093.0,180.0,5490.62,3896.88,-6892.19
0:0:21.14,200.684,960.0,191.0,2765.62,2965.62,-5578.12
0:0:21.67,1194.58,721.0,344.0,-479.69,221.88,5550.0
0:0:22.20,286.377,1006.0,172.0,2379.69,2420.31,-6060.94
0:0:22.76,1124.512,776.0,392.0,-3021.88,-1985.94,4507.81
0:0:23.25,354.004,1013.0,237.0,3517.19,3798.44,-10410.94
0:0:23.84,1276.123,743.0,291.0,-662.5,-107.81,5615.62
0:0:24.37,319.092,1000.0,213.0,2542.19,3571.88,-6521.88
0:0:24.89,1394.775,710.0,346.0,-2903.12,-1110.94,7282.81
0:0:25.42,445.801,992.0,186.0,2498.44,2589.06,-7570.31
0:0:25.97,1230.957,706.0,275.0,-3178.12,-1753.12,5154.69
0:0:26.51,500.732,1021.0,237.0,2510.94,2528.12,-5321.88
0:0:27.6,1046.143,516.0,120.0,-4201.56,-4829.69,9056.25
0:0:27.59,564.209,987.0,170.0,2007.81,2640.62,-5187.5
0:0:28.11,1293.701,498.0,208.0,-1867.19,-492.19,6610.94
0:0:28.64,506.104,938.0,179.0,2675.0,3425.0,-8325.0
0:0:29.19,1356.69,644.0,324.0,-4162.5,-2354.69,6656.25
0:0:29.74,480.225,932.0,171.0,2503.12,2864.06,-6215.62
0:0:30.28,1137.695,577.0,160.0,-12421.88,-10485.94,9359.38
0:0:31.31,1323.486,533.0,344.0,-3796.88,-1318.75,6618.75
0:0:31.83,367.676,944.0,223.0,3932.81,4464.06,-8773.44
0:0:32.37,1345.703,620.0,358.0,-3998.44,-2084.38,7031.25
0:0:33.45,1239.99,547.0,338.0,-7312.5,-4312.5,7945.31
0:0:33.95,396.973,890.0,198.0,2201.56,2278.12,-6348.44
0:0:34.48,1391.846,665.0,444.0,-4085.94,-1273.44,7682.81
0:0:35.52,1335.205,606.0,331.0,-3757.81,-1932.81,8198.44
0:0:36.7,479.004,908.0,386.0,-1871.88,2217.19,-11993.75
0:0:36.55,1542.48,677.0,321.0,-2254.69,-492.19,9806.25
0:0:37.8,316.162,1102.0,278.0,2904.69,3009.38,-7107.81
0:0:37.57,1366.699,406.0,342.0,-2148.44,621.88,8609.38
0:0:38.10,391.846,897.0,243.0,1829.69,3514.06,-6090.62
0:0:38.65,1377.93,495.0,310.0,-1976.56,-590.62,7767.19
0:0:39.20,433.35,978.0,201.0,4034.38,3087.5,-6370.31
0:0:39.70,1321.533,519.0,363.0,-1715.62,371.88,7590.62
0:0:40.24,487.793,1018.0,202.0,4450.0,3628.12,-6696.88
0:0:40.80,1236.328,674.0,405.0,-5070.31,-3279.69,5026.56
0:0:41.32,489.258,941.0,229.0,1590.62,360.94,-7914.06
0:0:41.84,1246.582,631.0,420.0,-3032.81,-595.31,6407.81
0:0:42.38,537.598,827.0,328.0,832.81,665.62,-11848.44
0:0:42.91,1349.609,466.0,290.0,-4307.81,-1970.31,7278.12
0:0:43.42,657.471,1042.0,227.0,2707.81,2078.12,-5253.12
0:0:43.97,1210.938,530.0,372.0,-6564.06,-3385.94,5931.25
0:0:44.55,706.543,996.0,325.0,-2179.69,-103.12,-8159.38
0:0:44.99,1186.279,528.0,410.0,-12034.38,-3671.88,16901.56
0:0:45.54,510.986,1029.0,258.0,4242.19,2739.06,-8092.19
0:0:46.60,788.574,1039.0,423.0,2606.25,3293.75,-3906.25
0:0:47.13,1348.633,720.0,560.0,-4371.88,282.81,6757.81
0:0:47.68,382.568,913.0,165.0,1056.25,1498.44,-7315.62
0:0:48.17,1303.955,572.0,493.0,-4126.56,781.25,12287.5
0:0:48.75,431.152,1031.0,200.0,4842.19,2764.06,-9128.12
0:0:49.79,255.371,1054.0,251.0,2601.56,2753.12,-9090.62
0:0:50.32,1255.371,508.0,387.0,-8001.56,-4548.44,9610.94
0:0:51.31,1479.492,439.0,426.0,-3664.06,-992.19,14948.44
0:0:51.91,246.094,972.0,189.0,3328.12,3339.06,-8945.31
0:0:52.47,1373.779,500.0,411.0,-4803.12,-2145.31,7490.62
0:0:53.0,379.639,1004.0,227.0,3362.5,2337.5,-8082.81
0:0:53.52,1388.184,522.0,397.0,-2782.81,-306.25,6290.62
0:0:53.96,254.15,836.0,218.0,6556.25,4887.5,-13712.5
0:0:54.57,1414.551,449.0,430.0,-3693.75,-1368.75,7450.0
0:0:55.12,283.691,891.0,138.0,1604.69,1050.0,-7965.62
0:0:56.19,256.348,1010.0,267.0,4295.31,3585.94,-8201.56
0:0:56.67,1448.73,350.0,483.0,-3087.5,-1175.0,9571.88
0:0:57.22,180.176,1030.0,141.0,5700.0,3081.25,-9059.38
0:0:57.70,1277.344,430.0,427.0,-3904.69,-2656.25,9426.56
0:0:58.27,281.982,875.0,194.0,4632.81,3509.38,-6823.44
0:0:58.82,1232.91,447.0,436.0,-3226.56,-479.69,6557.81
