second,xyz[4],xyz[1]
2.492,132.8281,0.4978027
2.498,131.9375,0.4973145
2.504,131.5469,0.496582
2.511,131.4844,0.496582
2.517,131.75,0.496582
2.524,132.2031,0.4958496
2.53,132.625,0.4941406
2.537,132.8125,0.4931641
2.543,132.8906,0.4924316
2.549,133.2031,0.4912109
2.556,133.7812,0.4890137
2.562,134.2344,0.4870605
2.569,134.8594,0.486084
2.575,135.2188,0.4848633
2.582,135.0469,0.4838867
2.588,134.4219,0.4838867
2.594,133.375,0.4841309
2.601,132.5625,0.4846191
2.607,132.7187,0.4841309
2.617,134.2188,0.4841309
2.624,134.2344,0.4836426
2.63,133.3437,0.4829102
2.636,132.4062,0.4824219
2.643,132.1563,0.482666
